,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,x_kpca_rbf,y_kpca_rbf,cluster_kpca_rbf
0,Retail,Other,12669,9656,7561,214,2674,1338,0.07837370589555145,-0.17311460364284087,2
1,Retail,Other,7057,9810,9568,1762,3293,1776,0.18581254641290776,-0.3074147140645973,2
2,Retail,Other,6353,8808,7684,2405,3516,7844,0.34170153813262294,0.07504775170557672,1
3,Horeca,Other,13265,1196,4221,6404,507,1788,-0.2533035236583455,0.2503524263190756,3
4,Retail,Other,22615,5410,7198,3915,1777,5185,0.13661671368898717,0.3752792354602763,1
5,Retail,Other,9413,8259,5126,666,1795,1451,-0.08895330433843458,-0.21226471169213584,0
6,Retail,Other,12126,3199,6975,480,3140,545,-0.14353041259380822,-0.16630589319905761,0
7,Retail,Other,7579,4956,9426,1669,3321,2566,0.04089698583784386,-0.2627155987279705,2
8,Horeca,Other,5963,3648,6192,425,1716,750,-0.22048402954290286,-0.3051577883697474,0
9,Retail,Other,6006,11093,18881,1159,7425,2098,0.708968836846272,-0.29119250182163275,4
10,Retail,Other,3366,5403,12974,4400,5977,1744,0.31974064092419563,-0.30652457804762445,2
11,Retail,Other,13146,1124,4523,1420,549,497,-0.35545182556925087,0.013874803248531993,0
12,Retail,Other,31714,12319,11757,287,3881,2931,0.3854465445073943,0.3357288366807354,1
13,Retail,Other,21217,6208,14982,3095,6707,602,0.3895006007283215,0.059373813275348346,4
14,Retail,Other,24653,9465,12091,294,5058,2168,0.35551116657293447,0.14421778495165272,1
15,Horeca,Other,10253,1114,3821,397,964,412,-0.35435520006086135,-0.11021859390248859,0
16,Retail,Other,1020,8816,12121,134,4508,1080,0.32263564498743097,-0.472218997711166,2
17,Horeca,Other,5876,6157,2933,839,370,4478,-0.07000249896230813,-0.09035047264311928,0
18,Retail,Other,18601,6327,10099,2205,2767,3181,0.11654191916216343,0.11785312476009324,1
19,Horeca,Other,7780,2495,9464,669,2518,501,-0.12022755406904655,-0.2835482007710935,0
20,Retail,Other,17546,4519,4602,1066,2259,2124,-0.1469002107674542,0.09957113896938696,3
21,Horeca,Other,5567,871,2010,3383,375,569,-0.39951071386634845,-0.09264082017742054,0
22,Horeca,Other,31276,1917,4469,9408,2381,4334,0.2043599877320019,0.6356359259636719,1
23,Retail,Other,26373,36423,22019,5154,4337,16523,0.3902661572691502,0.2569496025734215,1
24,Retail,Other,22647,9776,13792,2915,4482,5778,0.42781654073334796,0.22478368660722714,1
25,Retail,Other,16165,4230,7595,201,4003,57,-0.03163512873405424,-0.07255095160998654,0
26,Horeca,Other,9898,961,2861,3151,242,833,-0.40014060362739395,0.008535414697348625,0
27,Horeca,Other,14276,803,3045,485,100,518,-0.37005251264551253,0.05391791921403486,0
28,Retail,Other,4113,20484,25957,1158,8604,5206,0.7016207368605814,0.0731014575080407,4
29,Horeca,Other,43088,2100,2609,1200,1107,823,0.1826835473898075,0.6814840445911238,1
30,Horeca,Other,18815,3610,11107,1148,2134,2963,0.04311921712672576,0.1174533592420143,3
31,Horeca,Other,2612,4339,3133,2088,820,985,-0.29478662624567475,-0.27210669237856167,0
32,Horeca,Other,21632,1318,2886,266,918,405,-0.25157205246868564,0.2660610840718826,3
33,Horeca,Other,29729,4786,7326,6130,361,1083,0.04182350289076478,0.6263327105684743,1
34,Horeca,Other,1502,1979,2262,425,483,395,-0.33950761274923485,-0.2859829888576614,0
35,Retail,Other,688,5491,11091,833,4239,436,0.15318548998698003,-0.47204627497468227,2
36,Horeca,Other,29955,4362,5428,1729,862,4626,0.11579078334966612,0.5158516314924017,1
37,Retail,Other,15168,10556,12477,1920,6506,714,0.44744621040016613,-0.15055607597941215,4
38,Retail,Other,4591,15729,16709,33,6956,433,0.6931422223897343,-0.27107464556930344,4
39,Horeca,Other,56159,555,902,10002,212,2916,0.38129056315361076,0.5589487619332956,1
40,Horeca,Other,24025,4332,4757,9510,1145,5864,0.2115296314258816,0.5158501567286047,1
41,Horeca,Other,19176,3065,5956,2033,2575,2802,-0.09230035545523271,0.19668690026864855,3
42,Retail,Other,10850,7555,14961,188,6899,46,0.46300101226479146,-0.29270653126545576,4
43,Retail,Other,630,11095,23998,787,9529,72,0.7874656499758458,-0.20601239875751096,4
44,Retail,Other,9670,7027,10471,541,4618,65,0.16846143696562307,-0.31606742675509575,2
45,Retail,Other,5181,22044,21531,1740,7353,4985,0.6868279055313027,0.05304779726024859,4
46,Retail,Other,3103,14069,21955,1668,6792,1452,0.7630314684360964,-0.2376643694653712,4
47,Retail,Other,44466,54259,55571,7782,24171,6465,0.39027272891473025,0.2579669885514346,1
48,Retail,Other,11519,6152,10868,584,5121,1476,0.20654515531327833,-0.26001705669369063,2
49,Retail,Other,4967,21412,28921,1798,13583,1163,0.7289714387313023,0.11588236817646165,4
50,Horeca,Other,6269,1095,1980,3860,609,2162,-0.3430795910530945,-0.0359733479161727,0
51,Horeca,Other,3347,4051,6996,239,1538,301,-0.18086905028942643,-0.3679504169323375,0
52,Retail,Other,40721,3916,5876,532,2587,1278,0.20385521739136667,0.6261716702573182,1
53,Retail,Other,491,10473,11532,744,5611,224,0.4039493331332729,-0.449132135912335,2
54,Horeca,Other,27329,1449,1947,2436,204,1333,-0.16262992294600206,0.5367169722978515,3
55,Horeca,Other,5264,3683,5005,1057,2024,1130,-0.2336587348187078,-0.2988588835089219,0
56,Retail,Other,4098,29892,26866,2616,17740,1340,0.5426398038264196,0.23277421501496762,1
57,Retail,Other,5417,9933,10487,38,7572,1282,0.47467771286356997,-0.38349654161277813,4
58,Horeca,Other,13779,1970,1648,596,227,436,-0.3782829305730562,0.03896555000533215,0
59,Horeca,Other,6137,5360,8040,129,3084,1603,-0.022022933753793265,-0.3573458414066497,2
60,Retail,Other,8590,3045,7854,96,4095,225,-0.05983051989665638,-0.29868814403366734,2
61,Retail,Other,35942,38369,59598,3254,26701,2017,0.39299139703675945,0.2596203904566625,1
62,Retail,Other,7823,6245,6544,4154,4074,964,-0.009699948119071008,-0.19621106885775413,2
63,Retail,Other,9396,11601,15775,2896,7677,1295,0.6401918706005624,-0.24099799892956245,4
64,Horeca,Other,4760,1227,3250,3724,1247,1145,-0.3396877340483363,-0.13477912051815072,0
65,Retail,Other,85,20959,45828,36,24231,1423,0.4410358671167104,0.26167361959169877,1
66,Horeca,Other,9,1534,7417,175,3468,27,-0.09322374084289013,-0.4130771376120028,2
67,Retail,Other,19913,6759,13462,1256,5141,834,0.29240464167051355,0.00012687407189293309,2
68,Horeca,Other,2446,7260,3993,5870,788,3095,-0.0599707011697159,-0.06292199893640764,0
69,Horeca,Other,8352,2820,1293,779,656,144,-0.37944416017539284,-0.13546815859725833,0
70,Horeca,Other,16705,2037,3202,10643,116,1365,-0.050606591322371865,0.481025751942772,3
71,Horeca,Other,18291,1266,21042,5373,4173,14472,0.3992597551893954,0.26347509037127353,1
